fdc_id,food_name,data_type,food_category,calories,carbs_g,calcium_mg,fat_g,protein_g,saturated_fat_g,fiber_g,iron_mg,sodium_mg,sugar_g,cholesterol_mg,health_score,food_type,food_display_name,preparation_method,food_label,food_group_clean
168152,"Jujube, Chinese, fresh, dried",SR Legacy,Fruits and Fruit Juices,281.0,72.5,63.0,0.5,4.72,0.0,6.0,5.09,5.0,10.4,0.0,65,Fruits,"Jujube, Chinese, fresh",dried,"Jujube, Chinese, fresh (dried)",Fruits
170035,"Potatoes, microwaved, cooked in skin, skin, without salt",SR Legacy,Vegetables and Vegetable Products,132.0,29.6,46.0,0.1,4.39,0.026,5.5,5.94,16.0,1.6,0.0,65,Vegetables,"Potatoes, skin","microwaved, cooked in skin, without salt","Potatoes, skin (microwaved, cooked in skin, without salt)",Vegetables
170459,"Tomato products, canned, paste, without salt added (Includes foods for USDA's Food Distribution Program)",SR Legacy,Vegetables and Vegetable Products,82.0,18.9,36.0,0.47,4.32,0.1,4.1,2.98,59.0,12.2,0.0,65,Vegetables,"Tomato products, paste","canned, without salt added (Includes foods for USDA's Food Distribution Program)","Tomato products, paste (canned, without salt added (Includes foods for USDA's Food Distribution Program))",Vegetables
170113,"Potatoes, baked, skin only, with salt",SR Legacy,Vegetables and Vegetable Products,198.0,46.1,34.0,0.1,4.29,0.026,7.9,7.04,257.0,1.4,0.0,65,Vegetables,"Potatoes, skin only","baked, with salt","Potatoes, skin only (baked, with salt)",Vegetables
170034,"Potatoes, baked, skin, without salt",SR Legacy,Vegetables and Vegetable Products,198.0,46.1,34.0,0.1,4.29,0.026,7.9,7.04,21.0,1.4,0.0,65,Vegetables,"Potatoes, skin","baked, without salt","Potatoes, skin (baked, without salt)",Vegetables
2685580,"Tomato, paste, canned, without salt added",Foundation,Vegetables and Vegetable Products,88.5,20.2,36.8,0.732,4.23,0.114,4.7,3.18,61.2,11.7,0.0,65,Vegetables,"Tomato, paste","canned, without salt added","Tomato, paste (canned, without salt added)",Vegetables
169244,"Lambsquarters, raw",SR Legacy,Vegetables and Vegetable Products,43.0,7.3,309.0,0.8,4.2,0.059,4.0,1.2,43.0,1.6,0.0,65,Vegetables,Lambsquarters,raw,Lambsquarters (raw),Vegetables
2685575,"Brussels sprouts, raw",Foundation,Vegetables and Vegetable Products,48.8,9.62,38.6,0.565,3.98,0.114,4.78,0.73,25.7,1.6,0.0,65,Vegetables,Brussels sprouts,raw,Brussels sprouts (raw),Vegetables
170020,"Peas and onions, frozen, unprepared",SR Legacy,Vegetables and Vegetable Products,70.0,13.5,23.0,0.32,3.98,0.057,3.5,1.54,61.0,1.6,0.0,65,Vegetables,Peas and onions,"frozen, unprepared","Peas and onions (frozen, unprepared)",Vegetables
169972,"Brussels sprouts, frozen, unprepared",SR Legacy,Vegetables and Vegetable Products,41.0,7.86,26.0,0.41,3.78,0.084,3.8,0.93,10.0,2.03,0.0,65,Vegetables,Brussels sprouts,"frozen, unprepared","Brussels sprouts (frozen, unprepared)",Vegetables
169332,"Brussels sprouts, frozen, cooked, boiled, drained, with salt",SR Legacy,Vegetables and Vegetable Products,176.0,8.32,26.0,0.39,3.64,0.081,4.1,0.48,259.0,2.08,0.0,65,Vegetables,Brussels sprouts,"frozen, cooked, boiled, drained, with salt","Brussels sprouts (frozen, cooked, boiled, drained, with salt)",Vegetables
169973,"Brussels sprouts, frozen, cooked, boiled, drained, without salt",SR Legacy,Vegetables and Vegetable Products,175.0,8.32,26.0,0.39,3.64,0.081,4.1,0.48,15.0,2.08,0.0,65,Vegetables,Brussels sprouts,"frozen, cooked, boiled, drained, without salt","Brussels sprouts (frozen, cooked, boiled, drained, without salt)",Vegetables
170510,"Peas, edible-podded, frozen, cooked, boiled, drained, with salt",SR Legacy,Vegetables and Vegetable Products,208.0,8.43,59.0,0.38,3.5,0.073,3.1,2.4,241.0,4.82,0.0,65,Vegetables,"Peas, edible-podded","frozen, cooked, boiled, drained, with salt","Peas, edible-podded (frozen, cooked, boiled, drained, with salt)",Vegetables
170418,"Peas, edible-podded, frozen, cooked, boiled, drained, without salt",SR Legacy,Vegetables and Vegetable Products,218.0,9.02,59.0,0.38,3.5,0.073,3.1,2.4,5.0,4.82,0.0,65,Vegetables,"Peas, edible-podded","frozen, cooked, boiled, drained, without salt","Peas, edible-podded (frozen, cooked, boiled, drained, without salt)",Vegetables
170425,"Peas and carrots, frozen, unprepared",SR Legacy,Vegetables and Vegetable Products,53.0,11.2,27.0,0.47,3.4,0.084,3.4,1.09,79.0,1.6,0.0,65,Vegetables,Peas and carrots,"frozen, unprepared","Peas and carrots (frozen, unprepared)",Vegetables
170140,"Turnip greens, frozen, cooked, boiled, drained, with salt",SR Legacy,Vegetables and Vegetable Products,123.0,4.98,152.0,0.42,3.35,0.099,3.4,1.94,251.0,0.75,0.0,65,Vegetables,Turnip greens,"frozen, cooked, boiled, drained, with salt","Turnip greens (frozen, cooked, boiled, drained, with salt)",Vegetables
170471,"Vegetables, mixed, frozen, unprepared",SR Legacy,Vegetables and Vegetable Products,301.0,13.5,25.0,0.52,3.33,0.098,4.0,0.95,47.0,1.6,0.0,65,Vegetables,"Vegetables, mixed","frozen, unprepared","Vegetables, mixed (frozen, unprepared)",Vegetables
168405,"Cowpeas, young pods with seeds, raw",SR Legacy,Vegetables and Vegetable Products,44.0,9.5,65.0,0.3,3.3,0.079,3.3,1.0,4.0,5.04,0.0,65,Vegetables,"Cowpeas, young pods with seeds",raw,"Cowpeas, young pods with seeds (raw)",Vegetables
169205,"Artichokes, (globe or french), raw",SR Legacy,Vegetables and Vegetable Products,197.0,10.5,44.0,0.15,3.27,0.036,5.4,1.28,94.0,0.99,0.0,65,Vegetables,"Artichokes, (globe or french)",raw,"Artichokes, (globe or french) (raw)",Vegetables
169390,"Cauliflower, green, cooked, no salt added",SR Legacy,Vegetables and Vegetable Products,134.0,6.28,32.0,0.31,3.04,0.043,3.3,0.72,23.0,3.12,0.0,65,Vegetables,"Cauliflower, green, no salt added",cooked,"Cauliflower, green, no salt added (cooked)",Vegetables
169391,"Cauliflower, green, cooked, with salt",SR Legacy,Vegetables and Vegetable Products,136.0,6.28,32.0,0.31,3.04,0.049,3.3,0.72,259.0,1.6,0.0,65,Vegetables,"Cauliflower, green","cooked, with salt","Cauliflower, green (cooked, with salt)",Vegetables
170406,"Collards, raw",SR Legacy,Vegetables and Vegetable Products,133.0,5.42,232.0,0.61,3.02,0.055,4.0,0.47,17.0,0.46,0.0,65,Vegetables,Collards,raw,Collards (raw),Vegetables
170141,"Turnip greens and turnips, frozen, cooked, boiled, drained, with salt",SR Legacy,Vegetables and Vegetable Products,34.0,4.74,128.0,0.38,2.99,0.085,3.1,1.75,255.0,0.95,0.0,65,Vegetables,Turnip greens and turnips,"frozen, cooked, boiled, drained, with salt","Turnip greens and turnips (frozen, cooked, boiled, drained, with salt)",Vegetables
170062,"Turnip greens and turnips, frozen, cooked, boiled, drained, without salt",SR Legacy,Vegetables and Vegetable Products,146.0,4.85,128.0,0.38,2.99,0.085,3.1,1.75,19.0,1.07,0.0,65,Vegetables,Turnip greens and turnips,"frozen, cooked, boiled, drained, without salt","Turnip greens and turnips (frozen, cooked, boiled, drained, without salt)",Vegetables
170416,"Parsley, fresh",SR Legacy,Vegetables and Vegetable Products,151.0,6.33,138.0,0.79,2.97,0.132,3.3,6.2,56.0,0.85,0.0,65,Vegetables,"Parsley, fresh",unspecified,"Parsley, fresh",Vegetables
169389,"Cauliflower, green, raw",SR Legacy,Vegetables and Vegetable Products,31.0,6.09,33.0,0.3,2.95,0.047,3.2,0.73,23.0,3.03,0.0,65,Vegetables,"Cauliflower, green",raw,"Cauliflower, green (raw)",Vegetables
169238,"Kale, cooked, boiled, drained, without salt",SR Legacy,Vegetables and Vegetable Products,151.0,5.3,150.0,1.21,2.94,0.175,4.0,0.84,16.0,1.21,0.0,65,Vegetables,Kale,"cooked, boiled, drained, without salt","Kale (cooked, boiled, drained, without salt)",Vegetables
